RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
1,"Russell Westbrook, OKC",81,34.6,.554,23.4,12.2,42.5,5.4,28.8,17.1,30.70,823.7,27.5
2,"Kevin Durant, GS",62,33.4,.651,18.4,8.5,26.7,2.2,23.6,13.6,27.68,530.7,17.7
3,"Kawhi Leonard, SA",74,33.4,.610,13.3,7.9,29.6,3.7,15.7,9.8,27.62,632.4,21.1
4,"Anthony Davis, NO",75,36.1,.580,7.3,8.4,29.8,6.7,27.9,17.2,27.59,650.4,21.7
5,"James Harden, HOU",81,36.4,.613,27.6,14.1,35.1,3.5,20.9,12.2,27.43,744.7,24.8
6,"LeBron James, CLE",74,37.8,.619,25.6,12.0,30.1,4.0,20.7,12.6,27.11,692.7,23.1
7,"Isaiah Thomas, BOS",76,33.8,.625,18.5,8.7,32.8,1.9,7.0,4.4,26.59,597.9,19.9
8,"Nikola Jokic, DEN",73,27.9,.640,24.2,11.5,24.0,11.6,27.2,19.5,26.40,453.3,15.1
9,"Chris Paul, LAC",61,31.5,.614,35.0,9.1,25.8,2.4,14.9,8.8,26.25,437.3,14.6
10,"Giannis Antetokounmpo, MIL",80,35.6,.599,19.8,10.7,27.4,5.9,22.6,14.3,26.13,663.7,22.1
11,"Karl-Anthony Towns, MIN",82,37.0,.618,10.5,10.1,26.2,11.2,27.8,19.4,26.00,696.6,23.2
12,"DeMarcus Cousins, NO/SAC",72,34.2,.562,14.3,11.6,31.0,7.0,29.2,18.2,25.84,527.4,17.6
13,"JaVale McGee, GS",77,9.6,.642,4.0,9.4,21.6,15.9,20.1,18.1,25.26,161.7,5.4
14,"Jimmy Butler, CHI",76,37.0,.586,19.6,7.5,26.6,4.9,13.2,9.0,25.19,616.0,20.5
15,"Stephen Curry, GS",79,33.4,.624,22.2,10.1,29.5,2.7,11.4,7.3,24.74,541.1,18.0
16,"Damian Lillard, POR",75,35.9,.586,18.6,8.3,30.7,1.9,13.3,7.6,24.15,528.7,17.6
,"Joel Embiid, PHI",31,25.4,.585,9.2,16.3,33.6,8.5,25.6,17.0,24.15,159.0,5.3
18,"DeMar DeRozan, TOR",74,35.4,.552,12.6,7.8,32.7,3.0,13.6,8.3,24.09,531.4,17.7
19,"Enes Kanter, OKC",72,21.3,.599,6.4,11.7,25.8,14.1,20.8,17.4,23.74,300.5,10.0
