RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
1,"Anthony Davis, NO",68,36.1,.591,9.1,5.8,25.9,8.0,24.1,16.1,30.89,710.6,23.7
2,"Russell Westbrook, OKC",67,34.4,.536,21.9,11.2,38.2,5.9,16.7,11.4,29.12,622.6,20.8
3,"Stephen Curry, GS",80,32.7,.638,26.3,10.6,28.5,2.4,11.4,7.0,28.06,665.2,22.2
4,"Kevin Durant, OKC",27,33.8,.633,15.1,10.2,28.0,1.9,18.7,10.4,27.65,233.7,7.8
5,"James Harden, HOU",81,36.8,.605,20.8,11.8,30.5,2.8,14.2,8.5,26.76,723.4,24.1
6,"Hassan Whiteside, MIA",48,23.8,.619,1.2,11.2,18.7,15.6,34.7,25.4,26.26,266.9,8.9
7,"Chris Paul, LAC",82,34.8,.596,35.8,8.1,24.8,2.1,12.5,7.4,26.04,641.3,21.4
8,"LeBron James, CLE",69,36.1,.577,22.3,11.9,31.8,2.4,16.6,9.6,26.01,577.3,19.2
9,"DeMarcus Cousins, SAC",59,34.1,.545,11.9,14.4,31.8,10.8,30.6,21.1,25.29,441.2,14.7
10,"Blake Griffin, LAC",67,35.2,.551,19.3,8.3,27.0,6.1,17.9,12.1,22.86,399.5,13.3
11,"LaMarcus Aldridge, POR",71,35.4,.528,6.8,6.7,27.6,7.7,22.9,15.5,22.85,425.4,14.2
12,"Brook Lopez, BKN",72,29.2,.558,4.0,8.2,23.7,11.5,17.1,14.3,22.76,381.2,12.7
13,"Pau Gasol, CHI",78,34.4,.550,12.5,9.4,23.2,9.2,27.6,18.6,22.73,449.2,15.0
14,"Tim Duncan, SA",77,28.9,.560,17.5,9.9,21.0,8.8,26.7,17.9,22.69,371.9,12.4
15,"Kawhi Leonard, SA",64,31.8,.567,13.5,8.1,21.4,4.8,20.6,12.9,22.09,351.8,11.7
16,"Derrick Favors, UTAH",74,30.8,.558,8.6,9.3,22.3,10.0,20.7,15.4,21.86,352.4,11.7
